       24  2     41-405-243 -13  53
       24 18     41-197-199-115-108
       24 34     41-259-206 -72 -52
       24 34     51-128-164-134-122
       24 42     41-116 -88 -36 -23
       24 42     51-218-162  22 -68
       24 58     61 -52 -40 -19 -16
       24 82     41-412-331-135 -96
       24 90     31-260-194 -60 -27
       24 90     41 -15-203-263-269
       24 98     319998999899989998
       24 98     41-311-352-218-228
       24114     81-468-394-147 -94
       24114     91-191-301-225-256
       24114    111-347-238 -37   1
       24114    121-312-214 -51  -7
       24122     31-200-138 -21  -8
       24122     61-391-245 -12  46
       24122    111-191-319-326-304
       24130     41-193 -76  51  70
       24130     51-387-249 -46  -6
       24138     41-329-119 115 159
       24146     31-219 -92  59  81
       24146     41-383-207 -24  51
       24154     31-123-137-106 -90
       24162     31-188-158 -90 -59
       24162     41-225-148 -53 -11
       24178     51-285-306-185-164
       24210     61-384-305-132 -69
       24210     71-121-301-303-313
       24210    101-185-162  20 -87
       25  7     61 -56-109-121-117
       25  7     71-203 -99  16  41
       25 19     71-149-134 -63 -60
       25 25     71 -93-121 -62 -97
       25 43     71-224 -80  63  97
       25 43     81  28  40  27  34
       25 73     91-253-168 -20  -4
       25 73    101-481-411-249-168
       25 73    111-509-316 -59  47
       25 79     51-367-273 -78 -24
       25 79     61-319 -98  78 136
       25 91     31-207-121  11  24
       25 91     41-314-136  20  83
       25109     51-269-137  46  53
       25109     61-375-147  63 134
       25115     51-492-412-215-123
       25115     61   9 -49 -71 -74
       25133     91-360-396-255-229
       25139     51-245-188 -72 -36
       25157     71-223 -47  84 117
       26  2     619996999699969996
       26  7     51-166-112 -20  -5
       26  7     61-232-277-224-186
       26 12     81-335-284-126 -81
       26 12     91-259-253-183-135
       26 12    101 -19  50  92  82
       26 17     41-197-119  -3  10
       26 22     61-144-131 -80 -60
       26 22     71-112-122 -30 -85
       26 27     91-195-148 -63 -36
       26 37     61-374-251 -41  15
       26 47     81-162-301-305-288
       26 52     61-249-161 -20  11
       26 52     71-185-142 -76 -44
       26 57     31-331-238 106 -68
       26 82     41-306-393-309-290
       26 92     61-323-234 -62 -16
       26 92     71-281-144 -12  48
