       16 87    -.42627    4.00
       16 93    -.51465    3.00
       16 99    -.50061    3.00
       16105    -.13562    5.00
       16111    -.58064    3.00
       16117     .02343    5.00
       16123    -.47979    4.00
       16129    -.58064    3.00
       16135    -.57496    3.00
       16141    -.56992    3.00
       16147    -.52198    3.00
       16153    -.57007    3.00
       16159    -.54886    3.00
       17  3    -.32600    4.00
       17 10    -.25277    4.00
       17 17    -.73738    2.00
       17 24    -.70353    2.00
       17 31    -.69608    2.00
       17 38    -.53262    3.00
       17 45    -.46565    4.00
       17 52    -.28566    4.00
       17 59    -.27223    4.00
       17 66    -.67035    2.00
       17 73    -.18708    4.00
       17 80    -.60783    3.00
       17 87    -.32696    4.00
       17 94    -.40836    4.00
       17101    -.21749    4.00
       17108    -.09653    5.00
       17115    -.79115    1.00
       17122    -.70093    2.00
       17129    -.32699    4.00
       17136    -.19799    4.00
       17143     .31634    5.00
       17150    -.16210    4.00
       17157    -.12938    5.00
       17164    -.04775    5.00
       17171    -.59965    3.00
       17178    -.58109    3.00
       17185    -.20243    4.00
       18  2    -.63695    3.00
       18 10    -.14029    5.00
       18 18    -.64230    3.00
       18 26    -.72474    2.00
       18 34    -.65170    2.00
       18 42    -.46140    4.00
       18 50    -.40844    4.00
       18 58    -.61482    3.00
       18 66    -.46660    4.00
       18 74    -.36531    4.00
       18 82    -.27824    4.00
       18 90    -.24437    4.00
       18 98    -.69785    2.00
       18106    -.17196    4.00
       18114    -.71115    2.00
       18122    -.75907    1.00
       18130    -.42708    4.00
       18138    -.83326    1.00
       18146    -.48004    4.00
       18154    -.21749    4.00
       18162    -.08256    5.00
       18170    -.36480    4.00
       18178    -.20452    4.00
       18186    -.51556    3.00
       18194    -.73738    2.00
       18202    -.53363    3.00
       18210    -.41125    4.00
       19  1    -.82776    1.00
       19  8    -.76686    1.00
       19 15    -.79293    1.00
       19 22    -.80637    1.00
       19 29    -.68426    2.00
       19 36    -.51499    3.00
       19 43    -.77251    1.00
       19 50    -.66399    2.00
       19 57    -.56062    3.00
